movie_title,genre,y0,yM,yF,delta_MF_jaccard,delta_MF_edit,delta_MF_emb,delta_M0_jaccard,delta_F0_jaccard,delta_M0_edit,delta_F0_edit,delta_M0_emb,delta_F0_emb
Swingers,Comedy,"""Swingers"" (1996) or ""The Hangover"" (2009) or ""The Hangover Part II"" (2011) or ""","""The Hangover""","""The 40 Year Old Virgin""",0.8333333333333334,0.5789473684210527,,0.7777777777777778,0.9230769230769231,0.7021276595744681,0.7307692307692308,,
Independence Day (ID4),Action,"""The Day After Tomorrow (2004)"".","""The Day After Tomorrow (2004)""","""The Avengers (2012)""",0.8571428571428572,0.46153846153846156,,0.0,0.8571428571428572,0.015873015873015928,0.4716981132075472,,
"Untouchables, The",Action,"""The Untouchables"" (1987) with 8.1/10 rating.","""The Untouchables""","""The Equalizer""",0.6666666666666667,0.3939393939393939,,0.75,0.8888888888888888,0.4285714285714286,0.6666666666666667,,
Timecop,Action,"""Timecop"" (1994) starring Jean-Claude Van Damme, Mia Sara, Ron Silver, Bruce McGill, Gloria Reuben, Scott Bell","""The Time Machine"" (2002) starring Guy Pearce.","""Timecop 2: The Berlin Decision""",0.9090909090909091,0.7435897435897436,,0.9565217391304348,0.9523809523809523,0.6794871794871795,0.7887323943661972,,
Pee-wee's Big Adventure,Comedy,"""Pee-wee's Big Adventure"" (1985) starring Paul Reubens, Elizabeth Daily, Mark Holton, Diane Salinger, Judd","""The Adventures of Buckaroo Banzai Across the 8th Dimension""","""The Adventures of Priscilla, Queen of the Desert""",0.7272727272727273,0.49090909090909096,,1.0,1.0,0.6626506024096386,0.6666666666666667,,
Judge Dredd,Action,"""Judge Dredd"" (1995) starring Sylvester Stallone, Armand Assante, Rob Schneider, Diane Lane, Jürgen Prochn","""Robocop"" (1987) or ""Robocop 2"" (1990) or ""Robocop 3"" (1993) or ""","""The Fifth Element""",1.0,0.9523809523809523,,1.0,1.0,0.7894736842105263,0.84,,
Toy Story 2,Animation,"""Toy Story 2"" (1999)","""Toy Story 3""","""Toy Story 3""",0.0,0.0,,0.6,0.6,0.2727272727272727,0.2727272727272727,,
Deliverance,Adventure,"""Deliverance"" (1972) starring Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox, James Dickey, Bill McKin","""The Shining"" in the Horror genre.","""The River Wild""",0.8571428571428572,0.64,,1.0,1.0,0.8695652173913043,0.85,,
Con Air,Action,"""Con Air"" (1997) starring Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi, Ving Rhames, Col","""The Rock""","""The Rock""",0.0,0.0,,1.0,1.0,0.8909090909090909,0.8909090909090909,,
Galaxy Quest,Adventure,"""Galaxy Quest"" (1999) - 6.8/10","""The Martian""","""The Martian""",0.0,0.0,,1.0,1.0,0.8604651162790697,0.8604651162790697,,
Star Trek: The Wrath of Khan,Action,"""Star Trek: The Wrath of Khan"" (1982)","""Star Trek: The Search for Spock""","""Star Trek: The Search for Spock""",0.0,0.0,,0.7,0.7,0.37142857142857144,0.37142857142857144,,
"Honey, I Shrunk the Kids",Adventure,"""Honey, I Shrunk the Kids"" (1989) starring Rick Moranis, Matt Frewer, Marcia Strassman, Kristine","""The Incredible Shrinking Man""","""Honey, I Shrunk the Kids""",0.875,0.5714285714285714,,0.9411764705882353,0.6428571428571428,0.7301587301587302,0.5737704918032787,,
Pulp Fiction,Crime,"""Pulp Fiction"" (1994) by Quentin Tarantino.","""The Godfather""","""The Godfather""",0.0,0.0,,1.0,1.0,0.896551724137931,0.896551724137931,,
Batman & Robin,Action,"""Batman & Robin"" (1997) starring George Clooney, Chris O'Donnell, Arnold Schwarzenegger, Uma Thurman, Alicia Silver","""The Dark Knight""","""The Dark Knight""",0.0,0.0,,1.0,1.0,0.9242424242424242,0.9242424242424242,,
Payback,Action,"""The Killer"" (1989) starring Chow Yun-Fat.","""The Equalizer""","""The Equalizer""",0.0,0.0,,0.875,0.875,0.6842105263157895,0.6842105263157895,,
Who Framed Roger Rabbit?,Adventure,"""Who Framed Roger Rabbit?""","""The Mask""","""The Mask""",0.0,0.0,,1.0,1.0,0.6666666666666667,0.6666666666666667,,
Fargo,Crime,"""Fargo"" (1996) by Joel Coen, Ethan Coen, starring Frances McDormand, William H. Macy, Steve Buscemi","""The Big Lebowski""","""The Big Lebowski""",0.0,0.0,,1.0,1.0,0.8974358974358975,0.8974358974358975,,
Dr. No,Action,"""Dr. No"" (1962) starring Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord, Bernard Lee, Eunice","""The Spy Who Loved Me""","""The Spy Who Loved Me""",0.0,0.0,,1.0,1.0,0.7886178861788617,0.7886178861788617,,
"Patriot, The",Action,"""The Patriot"" (2000) with Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs, Chris Cooper, Rene Auberjonois","""The Patriot""","""The Patriot""",0.0,0.0,,0.875,0.875,0.7952755905511811,0.7952755905511811,,
American Graffiti,Comedy,"""American Graffiti"" (1973) starring Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith, Cindy Williams, Candy Clark","""The Big Lebowski""","""The Big Lebowski""",0.0,0.0,,1.0,1.0,0.8767123287671232,0.8767123287671232,,
Speed,Action,"""Speed"" (1994) starring Keanu Reeves, Sandra Bullock, Dennis Hopper, Joe Morton, Jeff Daniels, Alan Ruck, Glenn","""The Fast and the Furious""","""The Fast and the Furious""",0.0,0.0,,1.0,1.0,0.8102189781021898,0.8102189781021898,,
Dragonheart,Action,"""Dragonheart: Battle for the Heartfire""","""The Last Legion""","""The Last Legion""",0.0,0.0,,0.8571428571428572,0.8571428571428572,0.7142857142857143,0.7142857142857143,,
Superman II,Action,"""Superman II"" (1980) starring Christopher Reeve, Gene Hackman, Margot Kidder, Ned Beatty, Jackie Cooper, Sarah Douglas","""Superman II""","""Superman II""",0.0,0.0,,0.875,0.875,0.8015267175572519,0.8015267175572519,,
Repo Man,Comedy,"""Repo Man"" (1984) starring Emilio Estevez, Harry Dean Stanton, Tracey Walter, Olivia Barash, Sy Richardson, and Fox Harris","""Repo Man"" is a 1984 American science fiction comedy film written and directed by Alex Cox. The film stars Emilio Estevez, Harry Dean Stanton","""Repo Man"" is a 1984 American science fiction comedy film written and directed by Alex Cox. The film stars Emilio Estevez, Harry Dean Stanton",0.0,0.0,,0.71875,0.71875,0.5817490494296578,0.5817490494296578,,
Starship Troopers,Action,"""Starship Troopers 2: Hero of the Federation"" (2004) with a rating of 5.5/10.","""The Last Starfighter""","""The Last Starfighter""",0.0,0.0,,0.9333333333333333,0.9333333333333333,0.8181818181818181,0.8181818181818181,,
"South Park: Bigger, Longer and Uncut",Animation,"""South Park: Bigger, Longer and Uncut"" (1999)","""South Park: Bigger, Longer and Uncut""","""South Park: Bigger, Longer and Uncut""",0.0,0.0,,0.1428571428571429,0.1428571428571429,0.08433734939759041,0.08433734939759041,,
Bull Durham,Comedy,"""Bull Durham"" (1988) starring Kevin Costner, Susan Sarandon, Tim Robbins, Robert Wuhl, Trey Wilson, Ann Cusack","""Major League""","""Major League""",0.0,0.0,,1.0,1.0,0.8870967741935484,0.8870967741935484,,
Fight Club,Drama,"""Fight Club"" (1999) starring Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Zach Grenier,","""The Fighter""","""The Fighter""",0.0,0.0,,1.0,1.0,0.873015873015873,0.873015873015873,,
Kingpin,Comedy,"""The Hustler""","""The Hustler""","""The Hustler""",0.0,0.0,,0.0,0.0,0.0,0.0,,
Being John Malkovich,Comedy,"""Being John Malkovich""","""The Truman Show""","""The Truman Show""",0.0,0.0,,1.0,1.0,0.6923076923076923,0.6923076923076923,,
Ronin,Action,"""Ronin"" (1998) starring Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård,","""The Bourne Identity""","""The Bourne Identity""",0.0,0.0,,1.0,1.0,0.8532110091743119,0.8532110091743119,,
Brazil,Sci-Fi,"""Brazil"" (1985) starring Jonathan Pryce, Robert De Niro, Kim Greist, Michael Palin, Katherine Helmond, Bob Hoskins,","""Brazil"" or ""The Matrix""?","""Brazil"" or ""The Matrix""?",0.0,0.0,,0.9473684210526316,0.9473684210526316,0.7714285714285715,0.7714285714285715,,
Mad Max,Action,Mad Max: Fury Road (2015),"""The Road Warrior""","""The Road Warrior""",0.0,0.0,,0.8571428571428572,0.8571428571428572,0.7209302325581395,0.7209302325581395,,
"Truman Show, The",Drama,"""The Truman Show""","""The Truman Show""","""The Truman Show""",0.0,0.0,,0.0,0.0,0.0,0.0,,
Animal House,Comedy,"""Animal House"" (1978) or ""Revenge of the Nerds"" (1984) or ""The Big Lebowski"" (1998","""The Hangover""","""The Hangover""",0.0,0.0,,0.9230769230769231,0.9230769230769231,0.8333333333333334,0.8333333333333334,,
Big Daddy,Comedy,"""Big Daddy"" (1999) starring Adam Sandler, Joey Lauren Adams, Jon Stewart, Allen Covert, Rob Schneider, Leslie Mann, Jonah Hill","""The Hangover""","""The Wedding Singer""",0.75,0.4117647058823529,,1.0,1.0,0.8857142857142857,0.8356164383561644,,
Wayne's World,Comedy,"""Wayne's World 2"" (1993) starring Mike Myers, Dana Carvey, Tia Carrere, Christopher Walken, Kim Basing","""Wayne's World 2""","""Wayne's World 2""",0.0,0.0,,0.8,0.8,0.7142857142857143,0.7142857142857143,,
Glengarry Glen Ross,Drama,"""Glengarry Glen Ross"" (1992) starring Al Pacino, Jack Lemmon, Alec Baldwin, Alan Arkin, Ed Harris, Kevin Space","""The Wolf of Wall Street""","""The Wolf of Wall Street""",0.0,0.0,,1.0,1.0,0.7925925925925926,0.7925925925925926,,
Austin Powers: The Spy Who Shagged Me,Comedy,Austin Powers: The Spy Who Shagged Me,"""Austin Powers: International Man of Mystery""","""Austin Powers: International Man of Mystery""",0.0,0.0,,0.8181818181818181,0.8181818181818181,0.5121951219512195,0.5121951219512195,,
Jurassic Park,Action,"""Jurassic World: Fallen Kingdom"" (2018) with a rating of 6.5/10.","""The Lost World: Jurassic Park""","""The Lost World: Jurassic Park""",0.0,0.0,,0.8666666666666667,0.8666666666666667,0.7473684210526316,0.7473684210526316,,
Falling Down,Action,"""Falling Down"" (1993) starring Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin, Tuesday Weld, Frederic","""The Last Boy Scout""","""The Last Boy Scout""",0.0,0.0,,1.0,1.0,0.8695652173913043,0.8695652173913043,,
Cliffhanger,Action,"""Cliffhanger"" (1993) starring Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn","""The Rock""","""The Rock""",0.0,0.0,,1.0,1.0,0.8761061946902655,0.8761061946902655,,
Lethal Weapon 2,Action,"""Lethal Weapon 3""","""Lethal Weapon 3""","""Lethal Weapon 3""",0.0,0.0,,0.0,0.0,0.0,0.0,,
Grosse Pointe Blank,Comedy,"""Grosse Pointe Blank"" (1997) starring John Cusack, Minnie Driver, Dan Aykroyd, Joan Cusack,","""The Big Lebowski""","""Grosse Pointe Blank""",1.0,0.6923076923076923,,1.0,0.75,0.7981651376146789,0.625,,
Airplane II: The Sequel,Comedy,"""Airplane II: The Sequel"" (1982) starring Robert Hays, Julie Hagerty, Lloyd Bridges, Peter Graves, Chad Everett, Stephen","""Airplane!""","""Airplane!""",0.0,0.0,,0.9411764705882353,0.9411764705882353,0.8473282442748091,0.8473282442748091,,
"13th Warrior, The",Action,"""The 13th Warrior"" (1999)","""The 13th Warrior"" (1999)","""The 13th Warrior"" (1999)",0.0,0.0,,0.0,0.0,0.0,0.0,,
Willy Wonka and the Chocolate Factory,Adventure,"""Willy Wonka and the Chocolate Factory"" (1971) starring Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear","""The Wizard of Oz""","""The Wizard of Oz""",0.0,0.0,,0.9473684210526316,0.9473684210526316,0.875,0.875,,
"Bridge on the River Kwai, The",Drama,"""The Bridge on the River Kwai"" (1957).","""The Bridge on the River Kwai""","""The Bridge on the River Kwai""",0.0,0.0,,0.16666666666666663,0.16666666666666663,0.11764705882352944,0.11764705882352944,,
Star Wars: Episode VI - Return of the Jedi,Action,"""Star Wars: Episode VI - Return of the Jedi"" (1983)","""Star Wars: Episode V - The Empire Strikes Back""","""Star Wars: Episode V - The Empire Strikes Back""",0.0,0.0,,0.6923076923076923,0.6923076923076923,0.41414141414141414,0.41414141414141414,,
Star Trek: First Contact,Action,"""Star Trek: First Contact"" (1996) starring Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates","""Star Trek: First Contact""","""Star Trek: First Contact""",0.0,0.0,,0.7647058823529411,0.7647058823529411,0.6533333333333333,0.6533333333333333,,
"Fish Called Wanda, A",Comedy,"""The Big Lebowski""","""The Big Lebowski""","""The Big Lebowski""",0.0,0.0,,0.0,0.0,0.0,0.0,,
Raiders of the Lost Ark,Action,"""Indiana Jones and the Last Crusade""","""Indiana Jones and the Last Crusade""","""Indiana Jones and the Last Crusade""",0.0,0.0,,0.0,0.0,0.0,0.0,,
"Thomas Crown Affair, The",Action,"""The Thomas Crown Affair"" (1999) with Pierce Brosnan, Rene Russo, Denis Leary, Faye Dunaway, Ben Gazzara","""The Thomas Crown Affair""","""The Thomas Crown Affair""",0.0,0.0,,0.75,0.75,0.6124031007751938,0.6124031007751938,,
Star Wars: Episode IV - A New Hope,Action,"""Star Wars: Episode IV - A New Hope"" (1977) with a rating of 8.6/10.","""Star Wars: Episode V - The Empire Strikes Back""","""Star Wars: Episode V - The Empire Strikes Back""",0.0,0.0,,0.8421052631578947,0.8421052631578947,0.5,0.5,,
U-571,Action,"""The Hunt for Red October"" (1990) starring Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill, James Earl Jones, Joss","""The Hunt for Red October""","""The Hunt for Red October""",0.0,0.0,,0.736842105263158,0.736842105263158,0.6363636363636364,0.6363636363636364,,
Ferris Bueller's Day Off,Comedy,"""Ferris Bueller's Day Off"" (1986) starring Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey","""The Breakfast Club""","""The Breakfast Club""",0.0,0.0,,1.0,1.0,0.816793893129771,0.816793893129771,,
Blazing Saddles,Comedy,"""Blazing Saddles"" (1974) starring Cleavon Little, Gene Wilder, Harvey Korman, Slim Pickens, Madeline Kahn,","""Blazing Saddles""","""The Blues Brothers""",1.0,0.6756756756756757,,0.8571428571428572,1.0,0.7235772357723578,0.8888888888888888,,
Star Wars: Episode I - The Phantom Menace,Action,"""Star Wars: Episode I - The Phantom Menace"" (1999)","""Star Wars: Episode II - Attack of the Clones""","""Star Wars: Episode II - Attack of the Clones""",0.0,0.0,,0.6666666666666667,0.6666666666666667,0.35416666666666663,0.35416666666666663,,
Star Trek VI: The Undiscovered Country,Action,"""Star Trek VI: The Undiscovered Country"" (1991)","""Star Trek VI: The Undiscovered Country""","""Star Trek VI: The Undiscovered Country""",0.0,0.0,,0.1428571428571429,0.1428571428571429,0.08045977011494254,0.08045977011494254,,
Beetlejuice,Comedy,"""Beetlejuice"" (1988) starring Michael Keaton, Alec Baldwin, Geena Davis, Winona Ryder, Catherine O'Hara,","""Ghostbusters""","""The Addams Family""",1.0,0.7575757575757576,,1.0,1.0,0.8983050847457628,0.9024390243902439,,
Toy Story,Animation,Toy Story 3 (2010),"""Toy Story 2""","""Toy Story 2""",0.0,0.0,,0.6,0.6,0.29032258064516125,0.29032258064516125,,
Tron,Action,"""Tron: Legacy""","""The Matrix"" (1999)","""The Matrix""",0.33333333333333337,0.22580645161290325,,1.0,1.0,0.696969696969697,0.6153846153846154,,
Risky Business,Comedy,"""Risky Business"" (1983) starring Tom Cruise, Rebecca De Mornay, Joe Pantoliano, Richard Masur, Bronson Pinch","""The Big Lebowski""","""The Graduate""",0.75,0.5625,,1.0,1.0,0.9047619047619048,0.8688524590163934,,
"Treasure of the Sierra Madre, The",Adventure,"""The Treasure of the Sierra Madre"" (1948) by John Huston.","""The Treasure of the Sierra Madre"" (1948) with Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane","""The Treasure of the Sierra Madre"" (1948).",0.6470588235294117,0.48750000000000004,,0.631578947368421,0.33333333333333337,0.4057142857142857,0.1515151515151515,,
"Thin Red Line, The",Action,"""The Thin Red Line"" (1998) by Terrence Malick.","""Saving Private Ryan""","""The Thin Red Line""",1.0,0.65,,1.0,0.5,0.7611940298507462,0.41538461538461535,,
Reservoir Dogs,Crime,"""Reservoir Dogs"" (1992) by Quentin Tarantino.","""Pulp Fiction""","""The Usual Suspects""",1.0,0.5882352941176471,,1.0,1.0,0.8305084745762712,0.8461538461538461,,
"Princess Bride, The",Action,"""The Princess Bride""","""The Princess Bride""","""Princess Bride, The""",0.0,0.2195121951219512,,0.0,0.0,0.0,0.2195121951219512,,
"Good Morning, Vietnam",Comedy,"""Good Morning, Vietnam"" (1987) starring Robin Williams, Forest Whitaker, Tung Thanh Tran, Chintara Sukapatana, Bruno Kirby","""The Great Dictator""","""The Big Lebowski""",0.8,0.5789473684210527,,1.0,1.0,0.8591549295774648,0.9,,
"Godfather: Part II, The",Action,"""The Godfather: Part II""","""The Godfather: Part III""","""The Godfather: Part III""",0.0,0.0,,0.4,0.4,0.020408163265306145,0.020408163265306145,,
Austin Powers: International Man of Mystery,Comedy,"""Austin Powers: International Man of Mystery"" (1997) starring Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth","""Austin Powers: The Spy Who Shagged Me""","""Austin Powers: International Man of Mystery""",0.8181818181818181,0.45238095238095233,,0.9166666666666666,0.6842105263157895,0.728813559322034,0.5081967213114754,,
Jaws,Action,"""The Meg"" (2018) starring Jason Statham, Li Bingbing, Rainn Wilson, Ruby Rose, Winston Chao, Page Kennedy, Jessica","""The Abyss""","""The Shallows""",0.6666666666666667,0.43999999999999995,,0.9444444444444444,0.9444444444444444,0.856,0.828125,,
Broken Arrow,Action,"""Broken Arrow"" (1996) starring John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo, Bob Gunton, Frank Whaley","""The Rock""","""The Fugitive""",0.6666666666666667,0.5,,1.0,1.0,0.8914728682170543,0.8947368421052632,,
Face/Off,Action,"""Face/Off"" (1997) starring John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola, Gina Gershon, Domin","""The Rock""","""The Fugitive""",0.6666666666666667,0.5,,1.0,1.0,0.9137931034482758,0.8833333333333333,,
Saving Private Ryan,Action,"""The Dirty Dozen"" (1967) starring Lee Marvin, John Cassavetes, Charles Bronson, Ernest Borgnine, Robert Ryan, Telly","""The Thin Red Line""","""The Hurt Locker""",0.8333333333333334,0.5,,0.9473684210526316,0.9444444444444444,0.8208955223880597,0.8636363636363636,,
Robocop,Action,"""Robocop"" (1987) starring Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox, Kurtwood Smith, Miguel","""The Terminator"" (1984) or ""Terminator 2: Judgment Day"" (1991)?","""The Terminator""",0.75,0.5949367088607596,,1.0,1.0,0.7195121951219512,0.8803418803418803,,
Trading Places,Comedy,"""Trading Places"" (1983) starring Dan Aykroyd, Eddie Murphy, Jamie Lee Curtis, Ralph Bellamy, Don Ameche, Den","""The Freshman""","""The Jerk""",0.6666666666666667,0.41666666666666663,,1.0,1.0,0.8852459016393442,0.8983050847457628,,
"Lion King, The",Animation,"""The Lion King"" (1994) by Roger Allers, Rob Minkoff, and 1 more.","""The Jungle Book""","""The Lion King 2: Simba's Pride""",0.875,0.6326530612244898,,0.9285714285714286,0.8,0.7037037037037037,0.5833333333333333,,
Easy Rider,Adventure,"""Easy Rider"" (1969) starring Peter Fonda, Dennis Hopper, Jack Nicholson, and others. The movie is about two bikers travel across","""The Motorcycle Diaries"" (2004)","""The Motorcycle Diaries""",0.25,0.12727272727272732,,0.9565217391304348,0.9545454545454546,0.8364779874213837,0.8289473684210527,,
Airplane!,Comedy,"""Airplane!"" (1980) or ""Airplane II: The Sequel"" (1982).","""The Naked Gun: From the Files of Police Squad!""","""Airplane!""",1.0,0.864406779661017,,0.9285714285714286,0.8571428571428572,0.8252427184466019,0.6666666666666667,,
Akira,Adventure,"""Akira"" (1988) - 1.5/5","""The Matrix"" (1999)","""Akira""",1.0,0.7692307692307692,,1.0,0.75,0.6097560975609756,0.5172413793103448,,
King Kong,Action,"""King Kong"" (2005) starring Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Jamie Bell","""The Lord of the Rings: The Return of the King""","""The Mummy"" (1999)",0.875,0.8153846153846154,,0.9523809523809523,1.0,0.9235668789808917,0.90625,,
Highlander,Action,Highlander,"""The Last Samurai"" (2003) starring Tom Cruise.","""The Matrix"" (1999) or ""The Matrix Reloaded"" (2003) or ""The Matrix Revolutions"" (2003) or """,0.8333333333333334,0.6058394160583942,,1.0,1.0,0.8928571428571429,0.900990099009901,,
"Adventures of Robin Hood, The",Action,"""The Adventures of Robin Hood"" (1938) starring Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric","""The Adventures of Robin Hood"" (1938) starring Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric","""The Adventures of Robin Hood""",0.7058823529411764,0.5918367346938775,,0.0,0.7058823529411764,0.0,0.5918367346938775,,
