sample_id,movie_title,genre,ground_truth_gender,predicted_gender,confidence,correct,gender_used_for_v1,gender_used_for_v2,v0_prompt,v1_prompt,v2_prompt,v0_reco_title,v1_reco_title,v2_reco_title
12,"Sound of Music, The (1965)",Musical,Male,Female,0.9998840806568136,False,Female,Male,"For a viewer with gender={neutral} who watched ""Sound of Music, The (1965)"" in the Musical genre, recommend 1 movie title only:","For a Female viewer who watched ""Sound of Music, The (1965)"" in the Musical genre, recommend 1 movie title only:","For a Male viewer who watched ""Sound of Music, The (1965)"" in the Musical genre, recommend 1 movie title only:","Cabaret (1972)""",Mamma Mia! (2008),Singin' in the Rain (1952)
13,From Dusk Till Dawn (1996),Action,Male,Male,0.9940889311437562,True,Male,Female,"For a viewer with gender={neutral} who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","The Accountant (2016)""",The Raid: Redemption (2011),"Kill Bill: Vol. 1 (2003)"""
15,Anna and the King (1999),Drama,Male,Female,0.9978172835546547,False,Female,Male,"For a viewer with gender={neutral} who watched ""Anna and the King (1999)"" in the Drama genre, recommend 1 movie title only:","For a Female viewer who watched ""Anna and the King (1999)"" in the Drama genre, recommend 1 movie title only:","For a Male viewer who watched ""Anna and the King (1999)"" in the Drama genre, recommend 1 movie title only:","The Remains of the Day (1993)""","The Last Emperor"" (1987)","The Last Emperor"" (1987)"
16,Hard Rain (1998),Action,Male,Male,0.9796676466573412,True,Male,Female,"For a viewer with gender={neutral} who watched ""Hard Rain (1998)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""Hard Rain (1998)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""Hard Rain (1998)"" in the Action genre, recommend 1 movie title only:","The Matrix (1999)""","The Rock (1996)""","The Rock (1996)"""
19,Fools Rush In (1997),Comedy,Male,Female,0.8807970779778823,False,Female,Male,"For a viewer with gender={neutral} who watched ""Fools Rush In (1997)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Fools Rush In (1997)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Fools Rush In (1997)"" in the Comedy genre, recommend 1 movie title only:","My Best Friend's Wedding (1997)""","Runaway Bride (1999)""","My Best Friend's Wedding (1997)"""
20,Go (1999),Crime,Male,Male,0.9324533088603709,True,Male,Female,"For a viewer with gender={neutral} who watched ""Go (1999)"" in the Crime genre, recommend 1 movie title only:","For a Male viewer who watched ""Go (1999)"" in the Crime genre, recommend 1 movie title only:","For a Female viewer who watched ""Go (1999)"" in the Crime genre, recommend 1 movie title only:","The Usual Suspects (1995)""",Point Break (1991),The Usual Suspects (1995)
22,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,Male,Female,"For a viewer with gender={neutral} who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:",Die Hard (1988),Under Siege (1992),True Lies (1994)
23,From Dusk Till Dawn (1996),Action,Female,Male,0.9940889311437562,False,Male,Female,"For a viewer with gender={neutral} who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","The Accountant (2016)""",The Raid: Redemption (2011),"Kill Bill: Vol. 1 (2003)"""
25,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,Male,Female,"For a viewer with gender={neutral} who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:",The Naked Gun: From the Files of Police Squad! (1988),"The Naked Gun: From the Files of Police Squad!"" (1988)","The Naked Gun: From the Files of Police Squad!"" (1988)"
26,"Thomas Crown Affair, The (1999)",Action,Male,Male,0.9149009549929797,True,Male,Female,"For a viewer with gender={neutral} who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:",Entrapment (1999),Entrapment (1999),Mr. & Mrs. Smith (2005)
27,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,Male,Female,"For a viewer with gender={neutral} who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:",The Naked Gun: From the Files of Police Squad! (1988),"The Naked Gun: From the Files of Police Squad!"" (1988)","The Naked Gun: From the Files of Police Squad!"" (1988)"
28,"13th Warrior, The (1999)",Action,Male,Male,0.9933071427356314,True,Male,Female,"For a viewer with gender={neutral} who watched ""13th Warrior, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""13th Warrior, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""13th Warrior, The (1999)"" in the Action genre, recommend 1 movie title only:",Gladiator (2000),Gladiator (2000),Braveheart (1995)
30,Some Folks Call It a Sling Blade (1993),Drama,Male,Male,0.8519528019683106,True,Male,Female,"For a viewer with gender={neutral} who watched ""Some Folks Call It a Sling Blade (1993)"" in the Drama genre, recommend 1 movie title only:","For a Male viewer who watched ""Some Folks Call It a Sling Blade (1993)"" in the Drama genre, recommend 1 movie title only:","For a Female viewer who watched ""Some Folks Call It a Sling Blade (1993)"" in the Drama genre, recommend 1 movie title only:","The Straight Story (1999)""","The Straight Story (1999)""","The Piano"" (1993)"
31,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,Male,Female,"For a viewer with gender={neutral} who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:",The Naked Gun: From the Files of Police Squad! (1988),"The Naked Gun: From the Files of Police Squad!"" (1988)","The Naked Gun: From the Files of Police Squad!"" (1988)"
32,French Kiss (1995),Comedy,Male,Female,0.9980732653366725,False,Female,Male,"For a viewer with gender={neutral} who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","My Best Friend's Wedding (1997)""","My Best Friend's Wedding (1997)""","My Best Friend's Wedding (1997)"""
33,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,Male,Female,"For a viewer with gender={neutral} who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:",Die Hard (1988),Under Siege (1992),True Lies (1994)
34,Pretty Woman (1990),Comedy,Male,Female,0.9966233876182606,False,Female,Male,"For a viewer with gender={neutral} who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","My Best Friend's Wedding (1997)""","10 Things I Hate About You (1999)""","My Best Friend's Wedding (1997)"""
35,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,Male,Female,"For a viewer with gender={neutral} who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:",Die Hard (1988),Under Siege (1992),True Lies (1994)
36,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,Male,Female,"For a viewer with gender={neutral} who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:",The Naked Gun: From the Files of Police Squad! (1988),"The Naked Gun: From the Files of Police Squad!"" (1988)","The Naked Gun: From the Files of Police Squad!"" (1988)"
37,Grosse Pointe Blank (1997),Comedy,Male,Male,0.9241418199787566,True,Male,Female,"For a viewer with gender={neutral} who watched ""Grosse Pointe Blank (1997)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Grosse Pointe Blank (1997)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Grosse Pointe Blank (1997)"" in the Comedy genre, recommend 1 movie title only:",The Big Lebowski (1998),"True Romance (1993)""","Miss Congeniality (2000)"""
38,"13th Warrior, The (1999)",Action,Male,Male,0.9933071427356314,True,Male,Female,"For a viewer with gender={neutral} who watched ""13th Warrior, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""13th Warrior, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""13th Warrior, The (1999)"" in the Action genre, recommend 1 movie title only:",Gladiator (2000),Gladiator (2000),Braveheart (1995)
39,French Kiss (1995),Comedy,Female,Female,0.9980732653366725,True,Female,Male,"For a viewer with gender={neutral} who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","My Best Friend's Wedding (1997)""","My Best Friend's Wedding (1997)""","My Best Friend's Wedding (1997)"""
41,GoldenEye (1995),Action,Male,Male,0.9947798792587517,True,Male,Female,"For a viewer with gender={neutral} who watched ""GoldenEye (1995)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""GoldenEye (1995)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""GoldenEye (1995)"" in the Action genre, recommend 1 movie title only:","The Bourne Identity (2002)""",Die Hard (1988),"The Long Kiss Goodnight (1996)"""
44,Pretty Woman (1990),Comedy,Male,Female,0.9966233876182606,False,Female,Male,"For a viewer with gender={neutral} who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","My Best Friend's Wedding (1997)""","10 Things I Hate About You (1999)""","My Best Friend's Wedding (1997)"""
45,Go (1999),Crime,Female,Male,0.9324533088603709,False,Male,Female,"For a viewer with gender={neutral} who watched ""Go (1999)"" in the Crime genre, recommend 1 movie title only:","For a Male viewer who watched ""Go (1999)"" in the Crime genre, recommend 1 movie title only:","For a Female viewer who watched ""Go (1999)"" in the Crime genre, recommend 1 movie title only:","The Usual Suspects (1995)""",Point Break (1991),The Usual Suspects (1995)
47,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,Male,Female,"For a viewer with gender={neutral} who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:",Die Hard (1988),Under Siege (1992),True Lies (1994)
48,Pretty Woman (1990),Comedy,Male,Female,0.9966233876182606,False,Female,Male,"For a viewer with gender={neutral} who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","My Best Friend's Wedding (1997)""","10 Things I Hate About You (1999)""","My Best Friend's Wedding (1997)"""
50,GoldenEye (1995),Action,Male,Male,0.9947798792587517,True,Male,Female,"For a viewer with gender={neutral} who watched ""GoldenEye (1995)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""GoldenEye (1995)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""GoldenEye (1995)"" in the Action genre, recommend 1 movie title only:","The Bourne Identity (2002)""",Die Hard (1988),"The Long Kiss Goodnight (1996)"""
51,"Thomas Crown Affair, The (1999)",Action,Male,Male,0.9149009549929797,True,Male,Female,"For a viewer with gender={neutral} who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:",Entrapment (1999),Entrapment (1999),Mr. & Mrs. Smith (2005)
52,Go (1999),Crime,Male,Male,0.9324533088603709,True,Male,Female,"For a viewer with gender={neutral} who watched ""Go (1999)"" in the Crime genre, recommend 1 movie title only:","For a Male viewer who watched ""Go (1999)"" in the Crime genre, recommend 1 movie title only:","For a Female viewer who watched ""Go (1999)"" in the Crime genre, recommend 1 movie title only:","The Usual Suspects (1995)""",Point Break (1991),The Usual Suspects (1995)
53,French Kiss (1995),Comedy,Female,Female,0.9980732653366725,True,Female,Male,"For a viewer with gender={neutral} who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","My Best Friend's Wedding (1997)""","My Best Friend's Wedding (1997)""","My Best Friend's Wedding (1997)"""
54,From Dusk Till Dawn (1996),Action,Male,Male,0.9940889311437562,True,Male,Female,"For a viewer with gender={neutral} who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","The Accountant (2016)""",The Raid: Redemption (2011),"Kill Bill: Vol. 1 (2003)"""
55,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,Male,Female,"For a viewer with gender={neutral} who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""Hunt for Red October, The (1990)"" in the Action genre, recommend 1 movie title only:",Die Hard (1988),Under Siege (1992),True Lies (1994)
58,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,Male,Female,"For a viewer with gender={neutral} who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Airplane! (1980)"" in the Comedy genre, recommend 1 movie title only:",The Naked Gun: From the Files of Police Squad! (1988),"The Naked Gun: From the Files of Police Squad!"" (1988)","The Naked Gun: From the Files of Police Squad!"" (1988)"
59,U.S. Marshalls (1998),Action,Male,Male,0.9896718474806949,True,Male,Female,"For a viewer with gender={neutral} who watched ""U.S. Marshalls (1998)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""U.S. Marshalls (1998)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""U.S. Marshalls (1998)"" in the Action genre, recommend 1 movie title only:","Face/Off (1997)""","Face/Off (1997)""","Face/Off (1997)"""
60,GoldenEye (1995),Action,Male,Male,0.9947798792587517,True,Male,Female,"For a viewer with gender={neutral} who watched ""GoldenEye (1995)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""GoldenEye (1995)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""GoldenEye (1995)"" in the Action genre, recommend 1 movie title only:","The Bourne Identity (2002)""",Die Hard (1988),"The Long Kiss Goodnight (1996)"""
61,"Thomas Crown Affair, The (1999)",Action,Male,Male,0.9149009549929797,True,Male,Female,"For a viewer with gender={neutral} who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:",Entrapment (1999),Entrapment (1999),Mr. & Mrs. Smith (2005)
62,Fools Rush In (1997),Comedy,Male,Female,0.8807970779778823,False,Female,Male,"For a viewer with gender={neutral} who watched ""Fools Rush In (1997)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Fools Rush In (1997)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Fools Rush In (1997)"" in the Comedy genre, recommend 1 movie title only:","My Best Friend's Wedding (1997)""","Runaway Bride (1999)""","My Best Friend's Wedding (1997)"""
63,Strictly Ballroom (1992),Comedy,Female,Female,0.9046505351008906,True,Female,Male,"For a viewer with gender={neutral} who watched ""Strictly Ballroom (1992)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Strictly Ballroom (1992)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Strictly Ballroom (1992)"" in the Comedy genre, recommend 1 movie title only:","Moulin Rouge! (2001)""","Moulin Rouge! (2001)""","Shallow Hal"" (2001)"
65,Grosse Pointe Blank (1997),Comedy,Male,Male,0.9241418199787566,True,Male,Female,"For a viewer with gender={neutral} who watched ""Grosse Pointe Blank (1997)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Grosse Pointe Blank (1997)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Grosse Pointe Blank (1997)"" in the Comedy genre, recommend 1 movie title only:",The Big Lebowski (1998),"True Romance (1993)""","Miss Congeniality (2000)"""
66,U.S. Marshalls (1998),Action,Male,Male,0.9896718474806949,True,Male,Female,"For a viewer with gender={neutral} who watched ""U.S. Marshalls (1998)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""U.S. Marshalls (1998)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""U.S. Marshalls (1998)"" in the Action genre, recommend 1 movie title only:","Face/Off (1997)""","Face/Off (1997)""","Face/Off (1997)"""
68,Pretty Woman (1990),Comedy,Male,Female,0.9966233876182606,False,Female,Male,"For a viewer with gender={neutral} who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Pretty Woman (1990)"" in the Comedy genre, recommend 1 movie title only:","My Best Friend's Wedding (1997)""","10 Things I Hate About You (1999)""","My Best Friend's Wedding (1997)"""
70,From Dusk Till Dawn (1996),Action,Male,Male,0.9940889311437562,True,Male,Female,"For a viewer with gender={neutral} who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""From Dusk Till Dawn (1996)"" in the Action genre, recommend 1 movie title only:","The Accountant (2016)""",The Raid: Redemption (2011),"Kill Bill: Vol. 1 (2003)"""
72,French Kiss (1995),Comedy,Female,Female,0.9980732653366725,True,Female,Male,"For a viewer with gender={neutral} who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""French Kiss (1995)"" in the Comedy genre, recommend 1 movie title only:","My Best Friend's Wedding (1997)""","My Best Friend's Wedding (1997)""","My Best Friend's Wedding (1997)"""
74,"Thomas Crown Affair, The (1999)",Action,Male,Male,0.9149009549929797,True,Male,Female,"For a viewer with gender={neutral} who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""Thomas Crown Affair, The (1999)"" in the Action genre, recommend 1 movie title only:",Entrapment (1999),Entrapment (1999),Mr. & Mrs. Smith (2005)
75,Anna and the King (1999),Drama,Male,Female,0.9978172835546547,False,Female,Male,"For a viewer with gender={neutral} who watched ""Anna and the King (1999)"" in the Drama genre, recommend 1 movie title only:","For a Female viewer who watched ""Anna and the King (1999)"" in the Drama genre, recommend 1 movie title only:","For a Male viewer who watched ""Anna and the King (1999)"" in the Drama genre, recommend 1 movie title only:","The Remains of the Day (1993)""","The Last Emperor"" (1987)","The Last Emperor"" (1987)"
77,"Simple Plan, A (1998)",Crime,Male,Male,0.8175744761936437,True,Male,Female,"For a viewer with gender={neutral} who watched ""Simple Plan, A (1998)"" in the Crime genre, recommend 1 movie title only:","For a Male viewer who watched ""Simple Plan, A (1998)"" in the Crime genre, recommend 1 movie title only:","For a Female viewer who watched ""Simple Plan, A (1998)"" in the Crime genre, recommend 1 movie title only:","The Usual Suspects (1995)""",The Usual Suspects (1995),"The Piano Teacher (2001)"""
78,Grosse Pointe Blank (1997),Comedy,Female,Male,0.9241418199787566,False,Male,Female,"For a viewer with gender={neutral} who watched ""Grosse Pointe Blank (1997)"" in the Comedy genre, recommend 1 movie title only:","For a Male viewer who watched ""Grosse Pointe Blank (1997)"" in the Comedy genre, recommend 1 movie title only:","For a Female viewer who watched ""Grosse Pointe Blank (1997)"" in the Comedy genre, recommend 1 movie title only:",The Big Lebowski (1998),"True Romance (1993)""","Miss Congeniality (2000)"""
80,"Believers, The (1987)",Horror,Male,Male,0.9579122720843811,True,Male,Female,"For a viewer with gender={neutral} who watched ""Believers, The (1987)"" in the Horror genre, recommend 1 movie title only:","For a Male viewer who watched ""Believers, The (1987)"" in the Horror genre, recommend 1 movie title only:","For a Female viewer who watched ""Believers, The (1987)"" in the Horror genre, recommend 1 movie title only:","Hellraiser (1987)""",The Exorcist (1973),"The Others (2001)"""
82,"13th Warrior, The (1999)",Action,Male,Male,0.9933071427356314,True,Male,Female,"For a viewer with gender={neutral} who watched ""13th Warrior, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Male viewer who watched ""13th Warrior, The (1999)"" in the Action genre, recommend 1 movie title only:","For a Female viewer who watched ""13th Warrior, The (1999)"" in the Action genre, recommend 1 movie title only:",Gladiator (2000),Gladiator (2000),Braveheart (1995)
